Day,Site,Product,Reseller,Quantity
1,1,Sugar,A,4
1,1,Sugar,B,0
1,1,Sugar,C,0
1,1,Sugar,D,0
1,1,PowderMilk,A,0
1,1,PowderMilk,B,0
1,1,PowderMilk,C,0
1,1,PowderMilk,D,0
1,1,Flavour,A,10
1,1,Flavour,B,0
1,1,Flavour,C,0
1,1,Flavour,D,0
1,2,Sugar,A,0
1,2,Sugar,B,0
1,2,Sugar,C,0
1,2,Sugar,D,0
1,2,PowderMilk,A,0
1,2,PowderMilk,B,0
1,2,PowderMilk,C,0
1,2,PowderMilk,D,0
1,2,Flavour,A,0
1,2,Flavour,B,0
1,2,Flavour,C,0
1,2,Flavour,D,0
1,3,Sugar,A,0
1,3,Sugar,B,0
1,3,Sugar,C,0
1,3,Sugar,D,10
1,3,PowderMilk,A,0
1,3,PowderMilk,B,0
1,3,PowderMilk,C,0
1,3,PowderMilk,D,0
1,3,Flavour,A,0
1,3,Flavour,B,0
1,3,Flavour,C,0
1,3,Flavour,D,0
1,4,Sugar,A,0
1,4,Sugar,B,0
1,4,Sugar,C,0
1,4,Sugar,D,0
1,4,PowderMilk,A,0
1,4,PowderMilk,B,0
1,4,PowderMilk,C,0
1,4,PowderMilk,D,0
1,4,Flavour,A,0
1,4,Flavour,B,0
1,4,Flavour,C,0
1,4,Flavour,D,0
1,5,Sugar,A,0
1,5,Sugar,B,0
1,5,Sugar,C,0
1,5,Sugar,D,0
1,5,PowderMilk,A,0
1,5,PowderMilk,B,0
1,5,PowderMilk,C,0
1,5,PowderMilk,D,0
1,5,Flavour,A,0
1,5,Flavour,B,0
1,5,Flavour,C,0
1,5,Flavour,D,0
1,6,Sugar,A,0
1,6,Sugar,B,0
1,6,Sugar,C,0
1,6,Sugar,D,0
1,6,PowderMilk,A,0
1,6,PowderMilk,B,0
1,6,PowderMilk,C,0
1,6,PowderMilk,D,0
1,6,Flavour,A,0
1,6,Flavour,B,0
1,6,Flavour,C,0
1,6,Flavour,D,0
1,7,Sugar,A,0
1,7,Sugar,B,0
1,7,Sugar,C,0
1,7,Sugar,D,266
1,7,PowderMilk,A,0
1,7,PowderMilk,B,0
1,7,PowderMilk,C,0
1,7,PowderMilk,D,0
1,7,Flavour,A,0
1,7,Flavour,B,0
1,7,Flavour,C,0
1,7,Flavour,D,0
1,8,Sugar,A,0
1,8,Sugar,B,0
1,8,Sugar,C,0
1,8,Sugar,D,0
1,8,PowderMilk,A,0
1,8,PowderMilk,B,0
1,8,PowderMilk,C,0
1,8,PowderMilk,D,0
1,8,Flavour,A,0
1,8,Flavour,B,0
1,8,Flavour,C,0
1,8,Flavour,D,0
1,9,Sugar,A,0
1,9,Sugar,B,0
1,9,Sugar,C,0
1,9,Sugar,D,7
1,9,PowderMilk,A,0
1,9,PowderMilk,B,0
1,9,PowderMilk,C,0
1,9,PowderMilk,D,0
1,9,Flavour,A,0
1,9,Flavour,B,0
1,9,Flavour,C,0
1,9,Flavour,D,0
1,10,Sugar,A,0
1,10,Sugar,B,0
